Title,Year,Vote_Average,Vote_Count,Budget,Revenue,TMDB_ID,merge_title,Winner,_merge,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science_Fiction,Genre_TV_Movie,Genre_Thriller,Genre_War,Genre_Western,Nominee
Another Round,2020,7.635,3577,5150000,21700000,580175,another round,0,left_only,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
Ant-Man,2015,7.067,20422,130000000,519311965,102899,ant-man,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Ant-Man and the Wasp,2018,6.912,13827,140000000,622674139,363088,ant-man and the wasp,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Ant-Man and the Wasp: Quantumania,2023,6.3,5508,200000000,476071180,640146,ant-man and the wasp: quantumania,0,left_only,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
Anyone But You,2023,6.831,2790,25000000,214891370,1072790,anyone but you,0,left_only,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
Apocalypse Z: The Beginning of the End,2024,6.723,1168,0,500000,1118031,apocalypse z: the beginning of the end,0,left_only,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0
Aquaman,2018,6.872,14565,160000000,1152028393,297802,aquaman,0,left_only,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Aquaman and the Lost Kingdom,2023,6.6,3269,205000000,440181226,572802,aquaman and the lost kingdom,0,left_only,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Argylle,2024,6.023,1595,200000000,96221061,848538,argylle,0,left_only,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Army of the Dead,2021,6.229,4248,90000000,190700000,503736,army of the dead,0,left_only,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
Army of Thieves,2021,6.813,2178,30000000,46900000,796499,army of thieves,0,left_only,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
Arrival,2016,7.622,18712,47000000,203388186,329865,arrival,0,both,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,1
Artemis Fowl,2020,5.535,1697,125000000,0,475430,artemis fowl,0,left_only,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,0
